prompt,location,listing_type,style,beds,full_baths,sqft,year_built,list_price,stories,parking_garage,listing_type_NL,style_NL
"I'm looking to buy in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 872 square feet, built after 1966, priced around 150000, with 2 stories","San Diego, CA",for_sale,OTHER,5.0,1.0,872.0,1966.0,150000.0,2.0,,buy,other
"I'm looking to buy a single family in New York, NY with 5 bedrooms and 1 bathrooms, with at least 1946 square feet, built after 1967, priced around 600000, with 1 stories, with parking for at least 3 cars","New York, NY",for_sale,SINGLE_FAMILY,5.0,1.0,1946.0,1967.0,600000.0,1.0,3.0,buy,single family
"I'm looking to rent a apartment in San Diego, CA with 5 bedrooms and 2 bathrooms, with at least 2661 square feet, built after 1999, priced around 600000, with 1 stories, with parking for at least 1 cars","San Diego, CA",for_rent,APARTMENT,5.0,2.0,2661.0,1999.0,600000.0,1.0,1.0,rent,apartment
"I'm looking to rent a townhome in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2268 square feet, built after 2000, priced around 950000, with parking for at least 3 cars","New York, NY",for_rent,TOWNHOMES,3.0,2.0,2268.0,2000.0,950000.0,,3.0,rent,townhome
"I'm looking to rent a townhome in Los Angeles, CA with 4 bedrooms and 3 bathrooms, with at least 1099 square feet, built after 1953, priced around 450000, with 2 stories","Los Angeles, CA",for_rent,TOWNHOMES,4.0,3.0,1099.0,1953.0,450000.0,2.0,,rent,townhome
"I'm looking to buy in New York, NY with 4 bedrooms, with at least 2423 square feet, built after 1963, priced around 500000","New York, NY",for_sale,OTHER,4.0,,2423.0,1963.0,500000.0,,,buy,other
"I'm looking to buy in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 1158 square feet, built after 2006, priced around 700000, with 1 stories, with parking for at least 2 cars","San Antonio, TX",for_sale,OTHER,3.0,3.0,1158.0,2006.0,700000.0,1.0,2.0,buy,other
"I'm looking to buy a condo in San Diego, CA with 2 bedrooms, with at least 1365 square feet, built after 2019, priced around 700000, with 3 stories, with parking for at least 1 cars","San Diego, CA",for_sale,CONDOS,2.0,,1365.0,2019.0,700000.0,3.0,1.0,buy,condo
"I'm looking to rent a apartment in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 1478 square feet, built after 2006, with 3 stories","Phoenix, AZ",for_rent,APARTMENT,2.0,3.0,1478.0,2006.0,,3.0,,rent,apartment
"I'm looking to buy a condo in New York, NY with 4 bedrooms and 2 bathrooms, with at least 1580 square feet, priced around 250000, with 2 stories","New York, NY",for_sale,CONDOS,4.0,2.0,1580.0,,250000.0,2.0,,buy,condo
