prompt,location,listing_type,style,beds,full_baths,half_baths,sqft,year_built,list_price,stories,parking_garage
"I'm looking for a apartment in New York, NY with 1 bedrooms and 2 bathrooms.","New York, NY",for_rent,APARTMENT,1,2,,,1960.0,,,
"I'm looking for a single_family in Phoenix, AZ with 5 bedrooms and 3 bathrooms.","Phoenix, AZ",pending,SINGLE_FAMILY,5,3,,,,,,
"I'm looking for a single_family in Los Angeles, CA with 4 bedrooms and 3 bathrooms, spanning at least 1022 square feet, built after 1991, with parking for at least 1 cars.","Los Angeles, CA",for_sale,SINGLE_FAMILY,4,3,,1022.0,,,,1.0
"I'm looking for a condos in San Diego, CA with 1 bedrooms and 3 bathrooms, with parking for at least 2 cars.","San Diego, CA",pending,CONDOS,1,3,,,1988.0,,,2.0
"I'm looking for a townhomes in San Antonio, TX with 3 bedrooms and 2 bathrooms, spanning at least 1766 square feet.","San Antonio, TX",for_sale,TOWNHOMES,3,2,,1766.0,,,,
"I'm looking for a single_family in Dallas, TX with 3 bedrooms and 1 bathrooms.","Dallas, TX",for_rent,SINGLE_FAMILY,3,1,,,,,,
"I'm looking for a single_family in Dallas, TX with 2 bedrooms and 2 bathrooms, spanning at least 1958 square feet.","Dallas, TX",sold,SINGLE_FAMILY,2,2,,1958.0,,,,
"I'm looking for a single_family in Phoenix, AZ with 1 bedrooms and 1 bathrooms.","Phoenix, AZ",for_sale,SINGLE_FAMILY,1,1,,,,,,
"I'm looking for a apartment in San Jose, CA with 3 bedrooms and 1 bathrooms.","San Jose, CA",pending,APARTMENT,3,1,,,,,,
"I'm looking for a single_family in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with parking for at least 2 cars.","Phoenix, AZ",for_rent,SINGLE_FAMILY,2,3,,3125.0,,,,2.0
"I'm looking for a apartment in Philadelphia, PA with 4 bedrooms and 2 bathrooms, built after 1932, with parking for at least 1 cars.","Philadelphia, PA",for_rent,APARTMENT,4,2,,1166.0,1932.0,,,1.0
"I'm looking for a apartment in San Jose, CA with 4 bedrooms and 3 bathrooms.","San Jose, CA",for_rent,APARTMENT,4,3,,3133.0,2017.0,,,
"I'm looking for a apartment in Philadelphia, PA with 4 bedrooms and 1 bathrooms.","Philadelphia, PA",for_rent,APARTMENT,4,1,,,,,,
"I'm looking for a apartment in New York, NY with 1 bedrooms and 3 bathrooms, with parking for at least 3 cars.","New York, NY",pending,APARTMENT,1,3,,,2008.0,,,3.0
"I'm looking for a single_family in Dallas, TX with 2 bedrooms and 3 bathrooms, built after 1933.","Dallas, TX",for_rent,SINGLE_FAMILY,2,3,,,1933.0,,,
"I'm looking for a single_family in Phoenix, AZ with 1 bedrooms and 3 bathrooms, with parking for at least 3 cars.","Phoenix, AZ",pending,SINGLE_FAMILY,1,3,,3484.0,,,,3.0
"I'm looking for a condos in Houston, TX with 4 bedrooms and 1 bathrooms, spanning at least 836 square feet.","Houston, TX",for_sale,CONDOS,4,1,,836.0,,,,
"I'm looking for a apartment in New York, NY with 5 bedrooms and 3 bathrooms, built after 1983.","New York, NY",sold,APARTMENT,5,3,,,,,,
"I'm looking for a apartment in Philadelphia, PA with 3 bedrooms and 3 bathrooms.","Philadelphia, PA",sold,APARTMENT,3,3,,,1996.0,,,
