generate structured response: I'm looking to buy in San Diego, CA with 5 bedrooms and 1 bathrooms, with at least 872 square feet, built after 1966, priced around 150000, with 2 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: OTHER; beds: 5.0; full_baths: 1.0; sqft: 872.0; year_built: 1966.0; list_price: 150000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a single family in New York, NY with 5 bedrooms and 1 bathrooms, with at least 1946 square feet, built after 1967, priced around 600000, with 1 stories, with parking for at least 3 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: SINGLE_FAMILY; beds: 5.0; full_baths: 1.0; sqft: 1946.0; year_built: 1967.0; list_price: 600000.0; stories: 1.0; parking_garage: 3.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a apartment in San Diego, CA with 5 bedrooms and 2 bathrooms, with at least 2661 square feet, built after 1999, priced around 600000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: APARTMENT; beds: 5.0; full_baths: 2.0; sqft: 2661.0; year_built: 1999.0; list_price: 600000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to rent a townhome in New York, NY with 3 bedrooms and 2 bathrooms, with at least 2268 square feet, built after 2000, priced around 950000, with parking for at least 3 cars <|endoftext|> location: New York, NY; listing_type: for_rent; style: TOWNHOMES; beds: 3.0; full_baths: 2.0; sqft: 2268.0; year_built: 2000.0; list_price: 950000.0; stories: nan; parking_garage: 3.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to rent a townhome in Los Angeles, CA with 4 bedrooms and 3 bathrooms, with at least 1099 square feet, built after 1953, priced around 450000, with 2 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: TOWNHOMES; beds: 4.0; full_baths: 3.0; sqft: 1099.0; year_built: 1953.0; list_price: 450000.0; stories: 2.0; parking_garage: nan; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to buy in New York, NY with 4 bedrooms, with at least 2423 square feet, built after 1963, priced around 500000 <|endoftext|> location: New York, NY; listing_type: for_sale; style: OTHER; beds: 4.0; full_baths: nan; sqft: 2423.0; year_built: 1963.0; list_price: 500000.0; stories: nan; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 1158 square feet, built after 2006, priced around 700000, with 1 stories, with parking for at least 2 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: OTHER; beds: 3.0; full_baths: 3.0; sqft: 1158.0; year_built: 2006.0; list_price: 700000.0; stories: 1.0; parking_garage: 2.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to buy a condo in San Diego, CA with 2 bedrooms, with at least 1365 square feet, built after 2019, priced around 700000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: CONDOS; beds: 2.0; full_baths: nan; sqft: 1365.0; year_built: 2019.0; list_price: 700000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent a apartment in Phoenix, AZ with 2 bedrooms and 3 bathrooms, with at least 1478 square feet, built after 2006, with 3 stories <|endoftext|> location: Phoenix, AZ; listing_type: for_rent; style: APARTMENT; beds: 2.0; full_baths: 3.0; sqft: 1478.0; year_built: 2006.0; list_price: nan; stories: 3.0; parking_garage: nan; listing_type_NL: rent; style_NL: apartment
generate structured response: I'm looking to buy a condo in New York, NY with 4 bedrooms and 2 bathrooms, with at least 1580 square feet, priced around 250000, with 2 stories <|endoftext|> location: New York, NY; listing_type: for_sale; style: CONDOS; beds: 4.0; full_baths: 2.0; sqft: 1580.0; year_built: nan; list_price: 250000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a apartment in Phoenix, AZ with 1 bedrooms and 3 bathrooms, with at least 952 square feet, built after 1983, with 1 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: APARTMENT; beds: 1.0; full_baths: 3.0; sqft: 952.0; year_built: 1983.0; list_price: nan; stories: 1.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 1559 square feet, built after 1977, priced around 550000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: OTHER; beds: 2.0; full_baths: 2.0; sqft: 1559.0; year_built: 1977.0; list_price: 550000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent a condo in Los Angeles, CA with 1 bedrooms and 1 bathrooms, with at least 1995 square feet, built after 2002, priced around 600000, with 3 stories, with parking for at least 0 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: CONDOS; beds: 1.0; full_baths: 1.0; sqft: 1995.0; year_built: 2002.0; list_price: 600000.0; stories: 3.0; parking_garage: 0.0; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to rent a single family in Los Angeles, CA with 1 bedrooms and 2 bathrooms, with at least 2393 square feet, built after 1983, priced around 800000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: 1.0; full_baths: 2.0; sqft: 2393.0; year_built: 1983.0; list_price: 800000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a apartment in New York, NY with 1 bedrooms and 2 bathrooms, with at least 2424 square feet, priced around 550000, with 2 stories <|endoftext|> location: New York, NY; listing_type: for_sale; style: APARTMENT; beds: 1.0; full_baths: 2.0; sqft: 2424.0; year_built: nan; list_price: 550000.0; stories: 2.0; parking_garage: nan; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a apartment in San Antonio, TX with 2 bedrooms and 3 bathrooms, with at least 2339 square feet, built after 1956, priced around 900000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: APARTMENT; beds: 2.0; full_baths: 3.0; sqft: 2339.0; year_built: 1956.0; list_price: 900000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a apartment in New York, NY with 4 bedrooms and 1 bathrooms, with at least 2133 square feet, built after 2003, priced around 200000, with parking for at least 1 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: APARTMENT; beds: 4.0; full_baths: 1.0; sqft: 2133.0; year_built: 2003.0; list_price: 200000.0; stories: nan; parking_garage: 1.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a townhome in Phoenix, AZ with 1 bedrooms and 2 bathrooms, with at least 1275 square feet, priced around 550000, with 2 stories, with parking for at least 0 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: TOWNHOMES; beds: 1.0; full_baths: 2.0; sqft: 1275.0; year_built: nan; list_price: 550000.0; stories: 2.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a townhome in San Diego, CA with 3 bedrooms and 2 bathrooms, with at least 1974 square feet, built after 1993, with 3 stories, with parking for at least 0 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: TOWNHOMES; beds: 3.0; full_baths: 2.0; sqft: 1974.0; year_built: 1993.0; list_price: nan; stories: 3.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a apartment in San Antonio, TX with 3 bedrooms and 3 bathrooms, with at least 882 square feet, built after 1987, priced around 300000, with 2 stories, with parking for at least 2 cars <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: APARTMENT; beds: 3.0; full_baths: 3.0; sqft: 882.0; year_built: 1987.0; list_price: 300000.0; stories: 2.0; parking_garage: 2.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to rent in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 1444 square feet, built after 2002, priced around 700000, with 1 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: OTHER; beds: 5.0; full_baths: 2.0; sqft: 1444.0; year_built: 2002.0; list_price: 700000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: other
generate structured response: I'm looking to rent a townhome in San Diego, CA with 5 bedrooms and 3 bathrooms, with at least 1917 square feet, built after 1957, priced around 700000, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 1917.0; year_built: 1957.0; list_price: 700000.0; stories: 1.0; parking_garage: nan; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to buy a single family in Phoenix, AZ with 3 bedrooms and 2 bathrooms, with at least 2553 square feet, priced around 900000 <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: SINGLE_FAMILY; beds: 3.0; full_baths: 2.0; sqft: 2553.0; year_built: nan; list_price: 900000.0; stories: nan; parking_garage: nan; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a apartment in Phoenix, AZ with 1 bedrooms and 3 bathrooms, with at least 2790 square feet, built after 2015, priced around 600000, with 3 stories, with parking for at least 1 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: APARTMENT; beds: 1.0; full_baths: 3.0; sqft: 2790.0; year_built: 2015.0; list_price: 600000.0; stories: 3.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to rent a condo in Los Angeles, CA with 4 bedrooms and 2 bathrooms, with at least 2093 square feet, built after 1992, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: CONDOS; beds: 4.0; full_baths: 2.0; sqft: 2093.0; year_built: 1992.0; list_price: nan; stories: nan; parking_garage: 1.0; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to buy a apartment in Phoenix, AZ with 2 bedrooms and 2 bathrooms, with at least 1872 square feet, built after 1987, with 1 stories <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: APARTMENT; beds: 2.0; full_baths: 2.0; sqft: 1872.0; year_built: 1987.0; list_price: nan; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: apartment
generate structured response: I'm looking to buy a single family in Los Angeles, CA with 3 bedrooms and 3 bathrooms, with at least 1523 square feet, with 1 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 3.0; full_baths: 3.0; sqft: 1523.0; year_built: nan; list_price: nan; stories: 1.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a townhome in San Antonio, TX with 3 bedrooms and 2 bathrooms, with at least 2052 square feet, built after 1953, priced around 300000, with 1 stories <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: TOWNHOMES; beds: 3.0; full_baths: 2.0; sqft: 2052.0; year_built: 1953.0; list_price: 300000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to rent a single family in San Antonio, TX with 5 bedrooms and 2 bathrooms, with at least 1965 square feet, built after 1978, priced around 300000, with parking for at least 1 cars <|endoftext|> location: San Antonio, TX; listing_type: for_rent; style: SINGLE_FAMILY; beds: 5.0; full_baths: 2.0; sqft: 1965.0; year_built: 1978.0; list_price: 300000.0; stories: nan; parking_garage: 1.0; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a townhome in Los Angeles, CA with 1 bedrooms and 3 bathrooms, with at least 2260 square feet, built after 1967, priced around 450000, with 3 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: TOWNHOMES; beds: 1.0; full_baths: 3.0; sqft: 2260.0; year_built: 1967.0; list_price: 450000.0; stories: 3.0; parking_garage: nan; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy in San Diego, CA with 4 bedrooms and 2 bathrooms, with at least 2411 square feet, priced around 700000, with 1 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: OTHER; beds: 4.0; full_baths: 2.0; sqft: 2411.0; year_built: nan; list_price: 700000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: other
generate structured response: I'm looking to rent a condo in San Diego, CA with 5 bedrooms and 2 bathrooms, with at least 2782 square feet, built after 1964, priced around 800000, with 1 stories, with parking for at least 1 cars <|endoftext|> location: San Diego, CA; listing_type: for_rent; style: CONDOS; beds: 5.0; full_baths: 2.0; sqft: 2782.0; year_built: 1964.0; list_price: 800000.0; stories: 1.0; parking_garage: 1.0; listing_type_NL: rent; style_NL: condo
generate structured response: I'm looking to buy a single family in San Diego, CA with 1 bedrooms, with at least 2849 square feet, built after 1997, priced around 900000, with 3 stories <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 1.0; full_baths: nan; sqft: 2849.0; year_built: 1997.0; list_price: 900000.0; stories: 3.0; parking_garage: nan; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a condo in Los Angeles, CA with 5 bedrooms and 3 bathrooms, with at least 1828 square feet, priced around 350000, with 2 stories, with parking for at least 1 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: CONDOS; beds: 5.0; full_baths: 3.0; sqft: 1828.0; year_built: nan; list_price: 350000.0; stories: 2.0; parking_garage: 1.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to rent a townhome in Los Angeles, CA with 5 bedrooms and 2 bathrooms, with at least 1042 square feet, built after 1970, priced around 100000, with 1 stories, with parking for at least 2 cars <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: TOWNHOMES; beds: 5.0; full_baths: 2.0; sqft: 1042.0; year_built: 1970.0; list_price: 100000.0; stories: 1.0; parking_garage: 2.0; listing_type_NL: rent; style_NL: townhome
generate structured response: I'm looking to buy a condo in Los Angeles, CA with 3 bedrooms and 2 bathrooms, with at least 2370 square feet, built after 2014, priced around 350000, with 3 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: CONDOS; beds: 3.0; full_baths: 2.0; sqft: 2370.0; year_built: 2014.0; list_price: 350000.0; stories: 3.0; parking_garage: nan; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a townhome in Los Angeles, CA with 5 bedrooms and 3 bathrooms, with at least 2088 square feet, built after 2010, priced around 600000, with 1 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_sale; style: TOWNHOMES; beds: 5.0; full_baths: 3.0; sqft: 2088.0; year_built: 2010.0; list_price: 600000.0; stories: 1.0; parking_garage: nan; listing_type_NL: buy; style_NL: townhome
generate structured response: I'm looking to buy a single family in San Diego, CA with 2 bedrooms and 2 bathrooms, with at least 1037 square feet, built after 1965, with 2 stories, with parking for at least 0 cars <|endoftext|> location: San Diego, CA; listing_type: for_sale; style: SINGLE_FAMILY; beds: 2.0; full_baths: 2.0; sqft: 1037.0; year_built: 1965.0; list_price: nan; stories: 2.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to buy a condo in New York, NY with 1 bedrooms and 2 bathrooms, with at least 1018 square feet, built after 1964, priced around 650000, with 1 stories, with parking for at least 0 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: CONDOS; beds: 1.0; full_baths: 2.0; sqft: 1018.0; year_built: 1964.0; list_price: 650000.0; stories: 1.0; parking_garage: 0.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a condo in New York, NY with 1 bedrooms and 2 bathrooms, with at least 2695 square feet, built after 1981, with parking for at least 3 cars <|endoftext|> location: New York, NY; listing_type: for_sale; style: CONDOS; beds: 1.0; full_baths: 2.0; sqft: 2695.0; year_built: 1981.0; list_price: nan; stories: nan; parking_garage: 3.0; listing_type_NL: buy; style_NL: condo
generate structured response: I'm looking to buy a single family in Phoenix, AZ with 4 bedrooms, with at least 1073 square feet, built after 1983, priced around 600000, with 1 stories, with parking for at least 3 cars <|endoftext|> location: Phoenix, AZ; listing_type: for_sale; style: SINGLE_FAMILY; beds: 4.0; full_baths: nan; sqft: 1073.0; year_built: 1983.0; list_price: 600000.0; stories: 1.0; parking_garage: 3.0; listing_type_NL: buy; style_NL: single family
generate structured response: I'm looking to rent a single family in Los Angeles, CA with 4 bedrooms and 3 bathrooms, with at least 1691 square feet, built after 2003, priced around 800000, with 3 stories <|endoftext|> location: Los Angeles, CA; listing_type: for_rent; style: SINGLE_FAMILY; beds: 4.0; full_baths: 3.0; sqft: 1691.0; year_built: 2003.0; list_price: 800000.0; stories: 3.0; parking_garage: nan; listing_type_NL: rent; style_NL: single family
generate structured response: I'm looking to buy a condo in San Antonio, TX with 4 bedrooms and 3 bathrooms, with at least 2045 square feet, built after 1958, priced around 750000 <|endoftext|> location: San Antonio, TX; listing_type: for_sale; style: CONDOS; beds: 4.0; full_baths: 3.0; sqft: 2045.0; year_built: 1958.0; list_price: 750000.0; stories: nan; parking_garage: nan; listing_type_NL: buy; style_NL: condo
